Hospital,Tender Reference,Subject,Tendering Procedure,Contractor(s) & Address(es),Item,Contract Period,Estimated Contract Amount,Date of Award
Hospital Authority Head Office,HAHO(S)/T/23-G030,Supply of Disposable Blade for Cutting Paraffin Section for  Hospital Authority,Open,"Epredia Hong Kong Limited  Unit 10, Level 31, Tower 1, Kowloon Commerce Centre, No. 51 Kwai Cheong  Road, Kwai Chung, NT., Hong Kong",-,1 February 2025 - 31 January 2028,HKD1.94Mn,2-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-G037,Supply of Disposable Extraction Balloon Catheter and Disposable  Endoscopic Injection Needle for Endoscopy Units for Hospital Authority,Open,"Boston Scientific Hong Kong Ltd.  Suite 2601-02 & 09-11, 26/F, Dorset House, Taikoo Place, 979 King’s  Road, Quarry Bay, Hong Kong",Group A - Disposable Extraction Balloon Catheter,1 December 2024  -30 November 2027,HKD7.62Mn,2-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-G037,Supply of Disposable Extraction Balloon Catheter and Disposable  Endoscopic Injection Needle for Endoscopy Units for Hospital Authority,Open,"Rico Medical (HK) Limited  Unit L, 6/F, High Win Industrial Building, 47 Hoi Yuen Road, Kwun Tong,  Hong Kong",Group B - Disposable Endoscopic Injection Needle,1 December 2024  -30 November 2027,HKD1.62Mn,2-October-2024
Hospital Authority Head Office,HAHO(S)/T/24-G002,Supply of Medical Consumables for Transurethral Water Vapor  Thermal Ablation of Prostate for Hospital Authority,Selective,"Boston Scientific Hong Kong Ltd.  Suite 2601-02 & 09-11, 26/F, Dorset House, Taikoo Place, 979 King’s  Road, Quarry Bay, Hong Kong",-,1 November 2024  -31 October 2027,HKD30.46Mn,2-October-2024
Hospital Authority Head Office,HAHO(S)/T/24-G003,Supply of Prostatic Urethral Lift for Benign Prostatic  Hyperplasia for Hospital Authority,Selective,"Zuellig Pharma Limited  5/F, Berkshire House,  Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,1 November 2024  -31 October 2027,HKD31.25Mn,2-October-2024
Kowloon West Cluster,KWC/N/015-24,"Provision of Rehabilitation Shop Service for North Lantau Hospital, Kowloon  West Cluster, Hospital Authority",Open,"MentalCare Connect Company Limited  Room 1206, 12/F, Houtex Industrial Building, 16 Hung To Road, Kwun Tong,  Kowloon",-,1 December 2024 - 30 November 2027,HKD0.01Mn,2-October-2024
New Territories East Cluster,NTEC/P&MM/T3/2324-T11,"Provision of Sleep Diagnostic and Therapeutic Services for Adult  Patients with Obstructive Sleep Apnea Syndrome at Central Government-aided  Emergency Hospital, Hospital Authority",Open,"Care For You Company Limited  Flat B, 27/F, Railway Plaza, 39 Chatham Road South, Tsim Sha Tsui, Kowloon,  Hong Kong",,23 October 2024 - 22 October 2027,HKD12.81Mn,2-October-2024
New Territories East Cluster,NTEC/P&MM/T3/2324-T11,"Provision of Sleep Diagnostic and Therapeutic Services for Adult  Patients with Obstructive Sleep Apnea Syndrome at Central Government-aided  Emergency Hospital, Hospital Authority",Open,"Celki International Limited  21/F, Tins Enterprises Centre, 777 Lai Chi Kok Road, Cheung Sha Wan,  Kowloon, Hong Kong",,23 October 2024 - 22 October 2027,HKD12.87Mn,2-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-D197,Supply of Esomeprazole for Injection 40mg,Open,"Hind Wing Company Limited  Unit 1103B, 11/F., Block B, Seaview Estate  2-8 Watson Road  North Point, Hong Kong",-,9 April 2025 - 8 April 2028,HKD2.60Mn,4-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-D223,Supply of Nicergoline Tablets,Open,"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,26 December 2024 - 25 December 2027,HKD5.05Mn,4-October-2024
Hospital Authority Head Office,HAHO(S)/T/24-D040,Supply of Trimetazidine Dihydrochloride Modified Release Tablet  35mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,23 December 2024 - 22 December 2027,HKD5.74Mn,4-October-2024
Hospital Authority Head Office,DST24-008,Supply of Warfarin Sodium Tablet 3mg,Open,"Hong Kong Medical Supplies Limited  7/F, China Aerospace Centre,  143 Hoi Bun Road,  Kwun Tong, Kowloon, Hong Kong",-,1 March 2025 - 28 February 2026,HKD1.82Mn,4-October-2024
Hospital Authority Head Office,DST24-009,Supply of Aspirin Enteric Coated Tablet 100mg,Open,"SB Pharma Limited  Unit 2017, 20/F, Asia Trade Ctr, 79 Lei Muk Road, Kwai Chung, NT",-,1 January 2025 - 31 December 2025,HKD3.50Mn,4-October-2024
Hospital Authority Head Office,DST24-010,Supply of Warfarin Sodium Tablet 1mg,Open,"Hind Wing Company Limited  Unit 1103B, 11/F., Block B, Seaview Estate  2-8 Watson Road  North Point, Hong Kong",-,17 March 2025 - 16 March 2026,HKD2.93Mn,4-October-2024
Hospital Authority Head Office,DSQ24-041,Supply of Alirocumab (Praluent) Prefilled Pen 150mg/ml 2ml,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, Hong Kong",-,10 October 2024 - 9 October 2026,HKD3.40Mn,4-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-D167,Supply of Crotamiton Cream 10%,Open,"DKSH Hong Kong Limited  23/F, Tower A  Southmark, 11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,9 December 2024 - 8 December 2027,HKD14.81Mn,4-October-2024
Hospital Authority Head Office,HAHO(S)/T/24-D048,Supply of Ceftolozane and Tazobactam for Infusion,Open,"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,25 November 2024 - 24 November 2027,HKD13.60Mn,4-October-2024
Hospital Authority Head Office,DSQ24-023,Supply of Tolvaptan (Jinarc) Tablet 90mg/30mg,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place  25 Westlands Road  Quarry Bay, Hong Kong",-,10 October 2024 - 9 October 2026,HKD8.92Mn,4-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-D161,Supply of Tacrolimus Capsules,Limited  (Absence of competition for technical reasons),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,1 December 2024  -30 November 2027,HKD146.90Mn,4-October-2024
Hospital Authority Head Office,HAHO(S)/T/24-D028,Supply of Rituximab Injections,Limited  (Absence of competition for technical reasons),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,20 January 2025  -19 January 2028,HKD84.50Mn,4-October-2024
Hospital Authority Head Office,DSQ24-002,Supply of Trastuzumab (Herzuma) Infusion 420mg,Limited  (Absence of competition for technical reasons),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,20 December 2024  -19 December 2026,HKD22.09Mn,4-October-2024
Hospital Authority Head Office,DSQ24-018,Supply of Enfortumab Vedotin (Padcev) Infusion 20mg,Limited  (Purchase of products under patents or copyrights coverage),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,10 October 2024  - 9 October 2026,HKD8.59Mn,4-October-2024
Hospital Authority Head Office,DSQ24-029,Supply of Amivantamab (Rybrevant) Infusion 50mg/ml 7ml,Limited  (Purchase of products under patents or copyrights coverage),"DCH Auriga (Hong Kong) Limited - Healthcare Division  11/F, Wyler Centre 1  202-210 Tai Lin Pai Road  Kwai Chung, New Territories",-,18 December 2024 -17 December 2026,HKD16.25Mn,4-October-2024
Hospital Authority Head Office,DSQ24-030,Supply of Durvalumab Infusion 50mg/ml 10ml,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,3 December 2024 - 2 December 2026,HKD41.03Mn,4-October-2024
Hospital Authority Head Office,DSQ24-033,Supply of Siltuximab (Sylvant) Infusion 100mg,Limited  (Extreme urgency requirement to meet operational need),"DKSH Hong Kong Limited  23/F, Tower A, Southmark  11 Yip Hing Street  Wong Chuk Hang, Hong Kong",-,10 October 2024  -9 October 2026,HKD8.89Mn,4-October-2024
Hospital Authority Head Office,DSQ24-040,Supply of Pegasparaginase Injection 3750 IU,Limited  (Purchase of products under patents or copyrights coverage),"Zuellig Pharma Limited  5/F, Berkshire House, Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,17 October 2024  -16 October 2026,HKD10.64Mn,4-October-2024
Hospital Authority Head Office,HAHO(S)/T/22-D218,Supply of Vitamin B Complex Tablet,Open,"DCH Auriga (Hong Kong) Limited - Universal Division  11/F, Wyler Centre 1,  202-210 Tai Lin Pai Road,  Kwai Chung, Hong Kong",-,14 April 2025  - 13 April 2028,HKD12.50Mn,4-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-D225,Supply of Polyethylene Glycol Electrolyte Powder,Open,"DCH Auriga (Hong Kong) Limited – Healthcare Division  11/F, Wyler Centre 1,  202-210 Tai Lin Pai Road,  Kwai Chung, Hong Kong",-,3 April 2025  - 2 April 2028,HKD11.81Mn,4-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-D242,Supply of Ferrous Sulphate Tablet 300mg,Open,"Zuellig Pharma Limited  5/F, Berkshire House Taikoo Place, 25 Westlands Road, Quarry Bay, Hong Kong",-,19 January 2025  - 18 January 2028,HKD24.65Mn,4-October-2024
Hospital Authority Head Office,DSQ24-012,Supply of Cholecalciferol (Vit D3) Tablet 1000 IU (25mcg),Limited  (Extreme urgency requirement to meet operational need),"DCH Auriga (Hong Kong) Limited - Universal Division  11/F, Wyler Centre 1,  202-210 Tai Lin Pai Road,  Kwai Chung, Hong Kong",-,7 January 2025  - 6 January 2027,HKD5.32Mn,4-October-2024
Hospital Authority Head Office,HAHO(S)/T/23-G056,"Supply and Installation of Digital Radiography, Retrofit Systems  for Hospital Authority",Open,"QST Technologies (HK) Company Limited  RM C, 17/F, FORD GLORY PLAZA,  37 WING HONG STREET,  LAI CHI KOK, KLN",-,7 October 2024 - 6 October 2026,HKD2.31Mn,7-October-2024
New Territories East Cluster,"NTEC/P&MM/T5A/CBV2425-20196, 20201-T001","Supply and Installation of Microscopes, Light, Operating and  Maintenance Service for Prince of Wales Hospital, New Territories East  Cluster, Hospital Authority",Open,"Carl Zeiss Far East Co., Ltd  Unit 3012, 30/F, Tower 1, Metroplaza, 223 Hing Fong Road, Kwai Fong, N.T.",-,8 October 2024  - 7 October 2034,HKD2.26Mn,8-October-2024
New Territories East Cluster,NTEC/P&MM/T5B/CBV2425-19685-T003,"Supply and Installation of Automation Systems, Laboratory for  Prince of Wales Hospital, New Territories East Cluster, Hospital Authority",Open,"Becton Dickinson Asia Limited.  Unit 604, 6/F, Centre Parc, 11 Sheung Yuet Road,  Kowloon Bay, Kowloon",-,8 October 2024  - 7 October 2025,HKD3.10Mn,8-October-2024
Hospital Authority Head Office,HAHO(S)/T/24-G006,"Supply of Reagents, Controls and Consumables for Abbott  Analyzers for Hospital Authority",Limited  ( Proprietary products),"Abbott Laboratories Limited  20/F, AIA Tower, 183 Electric Road, North Point, Hong Kong",-,3 December 2024  - 2 December 2027,HKD91.20Mn,9-October-2024
Kowloon Central Cluster,KCC/T/FF/012/23/OLM,"Supply and Installation of Radiographic System, Digital  and  Provision of Maintenance Services for Our Lady of Maryknoll Hospital,  Kowloon Central Cluster, Hospital  Authority",Open,"Agfa Hong Kong Ltd  Unit 1606-09, Prosperity Millennia Plaza, 663 King’s Road, North Point,  Hong Kong",-,With effect from the date of acceptance to the fulfilment of  contractual obligations,HKD$6.01Mn,10-October-2024
